ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd_pledged_real,usd_goal_real
7119559,Cthulhu Idol Commemorative ed. and playing cards,Tabletop Games,Games,EUR,18/12/2015,1200,01/12/2015 23:05,6228,successful,75,ES,6748.66,1300.32
9026258,Insectes & Vous - Les pâtes aux insectes,Food,Food,EUR,01/01/2016,8000,02/11/2015 17:23,8377.7,successful,121,FR,9098.98,8688.76
9389420,Farmers Blend Coffee - a Vietnamese Specialty,Small Batch,Food,EUR,26/06/2017,3000,01/06/2017 03:15,2532,failed,106,DE,2889.52,3423.6
9926193,Razor Butler,Gadgets,Technology,EUR,07/12/2016,16500,07/11/2016 17:31,266,failed,7,DE,280.87,17422.34
10231318,Dungeon of Zaar: Fast-paced tactical multiplayer.,Video Games,Games,EUR,01/11/2016,25000,27/09/2016 10:54,26250,successful,553,FR,29119.11,27732.48
10275572,20 cities | 20 mosaic maps,Digital Art,Art,EUR,20/08/2015,350,21/07/2015 17:17,1230,successful,22,NL,1387.56,394.83
10356302,Ninchanese: a Gamified Chinese Learning Web App,Video Games,Games,EUR,02/08/2015,15000,22/06/2015 15:36,20853,successful,314,FR,22815.35,16411.56
10439987,Mad Squad - physics-based Co-op Action-Platformer (Canceled),Video Games,Games,EUR,06/09/2015,6000,07/08/2015 05:35,570,canceled,10,AT,642.28,6760.79
10704159,"Leftybooks, notebooks designed for left-handed minds",Product Design,Design,EUR,12/01/2016,10000,01/12/2015 10:16,3198,failed,112,ES,3490.31,10914.05
10811597,Laurel & Hardy: Spot On! (Book & CD),Nonfiction,Publishing,EUR,15/12/2016,7500,02/11/2016 21:33,13264,successful,222,DE,13846.23,7829.22
10916902,"My Mother, Nature (2017)",Documentary,Film & Video,EUR,07/10/2017,650,07/09/2017 13:18,865,successful,16,NL,1021.57,767.65
11021392,PaperLike - Make iPad Pro feel like writing on Paper,Product Design,Design,EUR,18/05/2017,1500,04/04/2017 09:42,40634,successful,1914,DE,45424.97,1676.86
11387295,Bab El West - Nouvel album DOUAR,World Music,Music,EUR,30/04/2017,3500,21/03/2017 15:58,3645,successful,88,FR,3995.26,3836.33
11436524,Watches / Vintage Style / Affordable Prices,Accessories,Fashion,EUR,31/10/2015,39600,01/10/2015 06:47,191961,successful,1156,FR,208546.72,43021.5
11439199,Kiën Light: Intelligent daylight at your fingertips,Hardware,Technology,EUR,23/11/2016,50000,18/10/2016 09:45,152579,successful,398,DE,161611.46,52959.93
11529841,Redesign of a highly successful watch from the 90s,Product Design,Design,EUR,21/08/2016,60000,22/07/2016 17:55,60341,successful,211,DE,68124.96,67739.97
11901015,Acid Rap Vinyl,Hip-Hop,Music,EUR,26/01/2017,3500,27/12/2016 15:08,1003,canceled,32,NL,1071.31,3738.36
12134418,New AMIGA 1200 Cases (Made From New Molds),Design,Design,EUR,01/11/2015,125000,02/09/2015 12:00,156310.02,successful,840,FR,169815.44,135800.19
12205842,A Hyacinth for His Hideousness (Gay Romance Novel),Translations,Publishing,EUR,10/07/2017,6500,10/06/2017 15:38,1050,failed,15,AT,1198.58,7419.75
12744977,Bi-color Chronograph Watches / Vintage style / Affordable,Product Design,Design,EUR,23/05/2017,29250,23/04/2017 19:05,1845,failed,16,FR,2065.65,32748.16
12947194,The First FairTrade Organic Cotton Bee Jacket!,Fashion,Fashion,EUR,27/10/2015,35000,12/09/2015 14:27,570,failed,11,NL,627.97,38559.42
13868001,Spirale : The Levitating Candle,Product Design,Design,EUR,17/09/2017,10000,18/08/2017 16:00,9877,canceled,96,FR,11813.89,11961.01
13961129,Darlite - The Limitless Sonos Experience,Hardware,Technology,EUR,17/07/2017,250000,07/06/2017 13:06,70050,canceled,500,NL,81552.11,291049.64
13963499,Wheelamp,Design,Design,EUR,20/10/2016,7000,05/09/2016 23:32,5147.2,failed,32,IT,5603.25,7620.21
14277938,Grapes Socks | Unique and different quality socks,Fashion,Fashion,EUR,29/09/2017,3000,26/08/2017 14:45,5289.5,successful,242,ES,6244.76,3541.79
14369245,TexTuring – dithering tool based on natural patterns,Design,Design,EUR,17/12/2015,7000,12/11/2015 12:12,8941,successful,577,FR,9688.47,7585.2
14377145,ONAK: the origami foldable canoe,Product Design,Design,EUR,01/08/2016,150000,01/07/2016 12:01,235230,successful,275,BE,262422.19,167339.74
14482311,OvEco: universal smart earphones organizer,Product Design,Design,EUR,27/06/2016,15000,28/04/2016 10:24,1016,failed,53,FR,1131.31,16702.48
14512175,Lord Henry: customizable Watches with a new kind of strap,Product Design,Design,EUR,19/10/2017,20000,12/09/2017 14:21,25377,successful,126,FR,29990.43,23635.91
14737712,A Female Orchestra Conductor? Really? Cindy Egolf Conducts!,Classical Music,Music,EUR,07/12/2015,500,07/11/2015 19:49,844,successful,13,IT,924.18,547.5
15170872,HUBYWOKY : Le commencement,Tabletop Games,Games,EUR,30/11/2017,5000,19/10/2017 15:15,7151,successful,109,FR,8498.93,5942.48
15208354,YOUR HOME THEATER SCREEN IN ALL LIVING ROOM,Technology,Technology,EUR,02/11/2015,7000,22/09/2015 15:00,645,failed,14,FR,700.73,7604.81
15327987,NeckBag: a Necklace or a Wallet? | HANDMADE IN ITALY,Accessories,Fashion,EUR,24/10/2017,5000,23/09/2017 13:47,337,failed,12,IT,391.09,5802.48
15376430,Truffle Oaks and Grapevines in Provence,Farms,Food,EUR,22/11/2016,2500,23/10/2016 10:58,2562,successful,29,FR,2713.67,2648
15637893,MAGICAL MEMORY OF CHARLIE CHAPLIN,Graphic Design,Design,EUR,15/04/2016,500,16/03/2016 00:16,259,failed,7,DE,292.26,564.2
15980679,Songs for Medusa,Rock,Music,EUR,19/02/2018,1500,21/12/2017 16:10,1325,live,16,DE,1608.15,1820.54
16425879,"PlyGo, the cool, ergonomic, foldable & portable laptop stand",Product Design,Design,EUR,23/11/2016,5555,21/10/2016 00:17,6677,successful,47,BE,7072.27,5883.85
16570553,The Most Affordable Automatic Watch with The Best Components,Design,Design,EUR,21/06/2017,3000,01/06/2017 00:30,4779,successful,23,ES,5339.61,3351.92
16622810,T-STREET,Fashion,Fashion,EUR,31/05/2016,14000,26/04/2016 07:17,1457,failed,23,IT,1625.14,15615.59
16854669,RoomShare-Deine günstige Unterkunft,Technology,Technology,EUR,30/09/2015,2500,31/08/2015 16:56,1984,failed,37,DE,2214.14,2789.99
17300272,the Dolphin Swim Club,Experimental,Film & Video,EUR,03/11/2015,67500,04/09/2015 11:02,23251,failed,44,NL,25259.92,73332.1
17754830,BAMBOO STRAW - 100% ECOfriendly made in Bali,Food,Food,EUR,03/04/2017,2000,04/03/2017 11:34,215,failed,17,AT,228.55,2126.01
17815250,"Asolo Art Film Festival, 35 edizione: per Attilio Zamperoni",Festivals,Film & Video,EUR,25/07/2016,10000,30/06/2016 08:19,291,failed,7,IT,323.39,11112.96
17979938,Urban footwear meets Andean Fabric! Intisurfing Shoes,Footwear,Fashion,EUR,22/09/2017,5000,23/08/2017 00:31,14454,successful,201,ES,17288.44,5980.5
18405427,Nieuwe pauken voor het VJHO,Classical Music,Music,EUR,09/05/2017,9000,10/03/2017 15:43,415,failed,13,BE,451.35,9788.35
18492677,Neodygame 3D RPG tabletop terrain,Tabletop Games,Games,EUR,12/03/2016,29000,11/02/2016 18:05,3411.2,failed,23,ES,3847.51,32709.23
18636318,Gray Dawn,Video Games,Games,EUR,14/10/2015,50000,13/09/2015 00:11,2542,failed,103,IT,2887.72,56800.11
18646864,PARIS ON FIRE : CD/DVD Musique-Fiction,Pop,Music,EUR,23/08/2017,100000,24/07/2017 17:58,1985,failed,49,FR,2343.9,118080.48
18692970,Carnets d'Archéologie Dessinée,Illustration,Art,EUR,23/05/2017,1458,23/04/2017 21:46,2412,successful,41,FR,2700.46,1632.37
18939379,The Reversible Tie - La Cravate Réversible | Oh My Node,Accessories,Fashion,EUR,26/06/2015,10000,27/05/2015 06:25,10968,successful,100,FR,12286.32,11201.97
19130606,SmartBe intelligent WebSite & ecommerce software,Web,Technology,EUR,03/07/2016,5000,03/06/2016 09:36,5346,successful,20,FR,5918.04,5535.01
19206997,La Petite Machine,Illustration,Art,EUR,19/04/2016,6000,19/02/2016 17:19,8215,successful,151,FR,9252.58,6757.82
19471129,KUHKUBUS -- 3D-Escher Figures,Design,Design,EUR,09/10/2017,2000,28/08/2017 08:54,2638,successful,42,DE,3115.48,2362
19564739,Amikumu: the app to use languages with people near you,Apps,Technology,EUR,16/11/2016,8500,18/10/2016 08:35,26671.5,successful,429,DE,28349.21,9034.67
19799631,EQ-Tool...a solution for your equalization problems!,Technology,Technology,EUR,11/01/2017,18000,17/11/2016 19:43,18804,successful,48,IT,20046.91,19189.77
20502104,LAPLOE: from a ditched umbrella to a bag!,Accessories,Fashion,EUR,29/10/2015,5000,29/09/2015 09:24,632,failed,12,IT,696.27,5508.49
20877150,"PlantAqua - Simple, Safe, Battery Powered Plant Watering",Product Design,Design,EUR,16/06/2016,20000,17/05/2016 14:08,1161,failed,16,DE,1306.59,22508.07
21611440,The Darwin Tank ::   An original jellyfish aquarium !,Design,Design,EUR,18/10/2015,31500,03/09/2015 22:53,43000.59,successful,80,BE,47661.93,34914.65
22260493,T-up MK1 - The auto tee up golf training device!,Gadgets,Technology,EUR,14/08/2017,25000,15/07/2017 07:08,22225,failed,20,DE,26092.11,29349.96
22325307,"The E-Mountainbike revolution - BIONICON edison EVO ""e-ram""",Technology,Technology,EUR,30/08/2015,90000,24/07/2015 18:37,26605,canceled,50,DE,29632.56,100241.69
22403127,The vision of a future without Alzheimer's disease,Technology,Technology,EUR,30/08/2015,550000,01/07/2015 19:39,954,failed,33,DE,1062.56,612588.13
22501448,Going to the match. Football culture photography,Photobooks,Photography,EUR,05/10/2015,4100,31/08/2015 08:40,3060,failed,51,DE,3476.76,4658.4
22839981,Seven Season Soup - A board game about fighting and cooking,Tabletop Games,Games,EUR,14/08/2017,35000,15/07/2017 16:11,3898,canceled,76,DE,4576.25,41089.94
23072459,highway 30: sustainable improvements and traffic services,Web,Technology,EUR,26/12/2016,38623,26/11/2016 15:26,35,failed,7,DE,36.89,40712.36
23079139,A collection of parody drawings - Cute and Creepy Sketchbook,Art,Art,EUR,20/11/2017,4000,16/10/2017 14:37,505,failed,8,IT,599.79,4750.82
23784199,THE NICARAGUAN CANAL: WHAT WE SHALL LOSE (PART 1),Journalism,Journalism,EUR,09/06/2016,8000,09/05/2016 14:03,545,failed,22,IT,616.07,9043.23
23820640,Noruega 1940 / Norway 1940,Tabletop Games,Games,EUR,29/10/2017,9500,29/09/2017 16:28,9764.5,successful,68,ES,11382.53,11074.2
23850278,Life in Limbo,Documentary,Film & Video,EUR,10/06/2016,11000,11/05/2016 13:45,12425,successful,71,ES,14045.26,12434.44
23972831,3C CARBON CLIP : The fastest and slimmest wallet,Product Design,Design,EUR,21/07/2017,40000,06/06/2017 17:17,31779,failed,499,FR,36997.07,46567.94
24085951,Adolf in the sky II (REICH 'n' ROLL!),Film & Video,Film & Video,EUR,07/06/2017,7000,08/05/2017 08:57,2842,failed,32,IT,3176.24,7823.24
24327492,YETI PAPER the best whiteboard in the galaxy!,Product Design,Design,EUR,03/07/2017,6000,01/06/2017 10:59,6421,successful,130,FR,7327.65,6847.2
24399382,DIGINYL - Your Music on Vinyl,Product Design,Design,EUR,13/02/2016,35000,15/12/2015 08:04,4880,failed,106,DE,5414.82,38835.81
24440339,"Lola Sparks ""Those Beautiful Boys"" Music Video & Songrelease",Music,Music,EUR,18/02/2017,5000,19/01/2017 09:03,781,failed,25,DE,828.56,5304.48
24666979,Bosui & Bacon,Food Trucks,Food,EUR,05/03/2015,20000,03/02/2015 20:58,1841,failed,33,NL,2018.29,21925.98
24995735,Jobothon,Technology,Technology,EUR,26/07/2015,500000,26/06/2015 09:17,1020,failed,10,FR,1118.63,548347.83
25155229,"ROMO Watches, From and for young. The rule breaking StartUP.",Accessories,Fashion,EUR,25/01/2018,35000,26/12/2017 20:36,2368,live,30,ES,2874.03,42479.34
25470666,Seduction Project,Video Games,Games,EUR,14/10/2015,5000,14/09/2015 22:36,120,failed,6,FR,136.32,5680.01
25533424,SYNGEAR - the first running time adjustable hourglass,Product Design,Design,EUR,21/04/2016,2000,24/03/2016 11:35,92,failed,14,DE,103.62,2252.61
26501291,Fantasy Football Bret and humans Norba Miniatures,Tabletop Games,Games,EUR,11/01/2018,2000,17/12/2017 12:00,2705,live,33,ES,3283.05,2427.39
26968245,Feed The Monsters,Mobile Games,Games,EUR,24/03/2016,2400,23/02/2016 17:12,326,failed,14,FR,363.62,2676.96
27277989,IMPRONTAUMANA - Graphic novel,Graphic Novels,Comics,EUR,27/06/2017,9450,08/05/2017 16:09,1032,failed,39,IT,1177.72,10784.35
27628079,Fifties Cosmetics Parfumerie Indépendante,Fashion,Fashion,EUR,14/07/2015,3000,09/06/2015 19:22,3150,successful,36,FR,3430.03,3266.69
27873897,"UGLYS, Unconventional Luxury at a Fair Price",Fashion,Fashion,EUR,13/12/2015,20000,03/11/2015 08:26,22890,successful,66,IT,24803.6,21671.99
28265065,The Fibonacci - World's Slimmest & Smartest Luxury Sleeve,Product Design,Design,EUR,09/07/2016,10000,09/06/2016 09:10,6096,canceled,57,BE,6783.66,11128.05
28394946,Orc Warband 30mm Miniatures by GT Studio Creations,Tabletop Games,Games,EUR,08/03/2017,2000,06/02/2017 18:00,24521,successful,323,ES,26007.04,2121.21
28473999,"Restaurant éco responsable,créateur de liens solidaires.",Restaurants,Food,EUR,26/03/2016,50000,25/02/2016 15:39,460,failed,6,FR,525.87,57159.84
28478608,The Big Pirate Tent for fun & adventure,Product Design,Design,EUR,28/06/2015,20000,29/05/2015 09:51,2001,failed,12,DE,2220.3,22191.89
29162767,The 6th album of ECHO-award winning jazz pianist TIM ALLHOFF,Jazz,Music,EUR,14/12/2017,7900,14/11/2017 10:00,8442,successful,91,DE,9966.59,9326.71
29181924,Book lamp! The new Bestsellers.,Product Design,Design,EUR,06/07/2016,8000,06/06/2016 18:26,1566,failed,14,DE,1733.57,8856.02
29412660,Enjoy the wine instant ! Savourez le vin au présent !,Drinks,Food,EUR,09/05/2017,12000,09/04/2017 23:35,9729,failed,52,FR,10581.21,13051.14
29624007,Upperz | a fast paced platform hell!,Video Games,Games,EUR,11/11/2017,10000,12/10/2017 14:26,2790.67,failed,94,BE,3291.58,11794.96
30182397,Custom wooden astrolabes (relaunched),Woodworking,Crafts,EUR,28/04/2017,600,29/03/2017 03:43,745,successful,11,NL,814.29,655.8
30399682,Beat your morning devil - SHORT FILM,Shorts,Film & Video,EUR,14/10/2015,2666,14/09/2015 05:01,2699,successful,21,FR,3066.07,3028.58
30510918,SelfKee - Your selfie on a multitool,Product Design,Design,EUR,23/09/2017,2500,24/08/2017 18:02,563,failed,21,ES,664.68,2951.49
30551287,The Tiger Lillies present Edgar Allan Poe's Haunted Palace,Music,Music,EUR,23/07/2017,15000,24/05/2017 19:00,4164,failed,94,FR,4883.94,17593.45
30945338,AER - Throw your GoPro®,Camera Equipment,Technology,EUR,03/11/2016,70000,29/09/2016 17:56,123602,successful,1947,NL,137111.61,77650.95
31010419,Black - Animated Short Film,Animation,Film & Video,EUR,30/07/2016,8000,30/06/2016 10:11,11036,successful,132,IT,12311.74,8924.79
31394701,Hoodman Blind Debut EP,World Music,Music,EUR,01/11/2017,3500,02/10/2017 23:48,3651,successful,94,IE,4255.99,4079.97
31450766,Attack of the Cyber Octopuses,Science Fiction,Film & Video,EUR,28/02/2017,18000,10/01/2017 00:13,24152,successful,751,IT,25516.63,19017.03
31707246,POWERSHIPS (a future race through our solar system),Tabletop Games,Games,EUR,02/04/2017,20000,13/03/2017 13:54,27756,successful,473,NL,29504.75,21260.09
31883931,Multi Material Cutter&Pelletizer- SHRED-Buddy3D REcycler,3D Printing,Technology,EUR,25/08/2016,2200,11/08/2016 16:13,1300,failed,15,DE,1467.7,2483.8
32682027,Bilder für die Ewigkeit! ! Mein eigenes Studio,Fine Art,Photography,EUR,22/09/2015,4000,24/07/2015 16:54,312,failed,7,DE,347.91,4460.4
33381319,DAPX Diamant - Playing Cards - Printed by LPCC (Canceled),Playing Cards,Games,EUR,30/07/2015,6500,30/06/2015 12:45,723,canceled,47,FR,792.91,7128.52
33447056,The Happy Shaver | The Denim Strip That Changes S(h)aving!,Product Design,Design,EUR,23/08/2017,7500,26/07/2017 13:23,1420,failed,33,NL,1676.74,8856.04
33562890,DOCUMENTAL PAREJA,Documentary,Film & Video,EUR,11/05/2017,600,25/04/2017 22:33,715,successful,30,ES,777.63,652.56
33835833,"FINCLIP, don/doff your scuba diving fins the easiest way",Wearables,Technology,EUR,31/03/2017,70000,03/02/2017 20:40,95396,successful,746,IT,101987.45,74836.7
33898031,nOb - One knob controls it all,Hardware,Technology,EUR,27/01/2016,52000,03/12/2015 20:41,64935,successful,441,DE,70909.09,56784.06
33987945,"Widdenburg watch. Classic,elegant and smart without charging",Wearables,Technology,EUR,10/01/2017,5000,01/12/2016 09:42,7649,successful,75,DE,8154.58,5330.49
34000035,CROSS+: The first interactive paper magazine.,Print,Journalism,EUR,20/12/2016,300000,02/11/2016 14:00,26,failed,6,IT,27.16,313381.39
34100144,Liberation 4.0,Video Art,Art,EUR,29/07/2017,2800,27/06/2017 08:24,2933.22,successful,36,DE,3481.15,3323.05
34110897,"mia 1 – masaba II festival, 6. & 7. 10. 2015",World Music,Music,EUR,31/08/2015,5000,01/08/2015 16:54,2045,failed,23,DE,2277.71,5568.98
34554105,Carallarm app: AI that can end forgetting children in cars,Apps,Technology,EUR,24/09/2017,100000,25/08/2017 22:21,6486,canceled,33,IT,7657.34,118059.57
35097504,Kairos,Shorts,Film & Video,EUR,20/10/2016,3000,12/09/2016 10:53,3286,successful,68,ES,3577.14,3265.8
35098063,"Small City, a new city-building game with automatic growing!",Tabletop Games,Games,EUR,08/09/2015,1000,24/08/2015 09:18,13626,successful,233,FR,15353.76,1126.8
35223679,HBP® - HempBioPlastic for 3D Printing,3D Printing,Technology,EUR,28/09/2016,5000,29/08/2016 15:42,5820,successful,62,IT,6495.68,5580.48
35232682,Move Clothing-Unique Sportswear 'From Athletes For Athletes',Apparel,Fashion,EUR,24/09/2016,20000,18/08/2016 12:03,265,failed,6,DE,295.77,22321.93
35385238,Tales From A Forbidden Land,Jazz,Music,EUR,27/04/2016,2500,28/03/2016 16:40,2711,successful,103,DE,3091.36,2850.76
35673591,"À Bruit, a Return from the Hunt.",Art,Art,EUR,12/07/2016,5000,12/06/2016 16:06,5030,successful,19,DE,5597.41,5564.03
35689425,Eyes of India - Exhibition - Exposition - Prints - Photos,Fine Art,Photography,EUR,02/10/2015,15000,02/09/2015 00:13,388,failed,8,FR,433.01,16739.95
35939887,KOSMOS Titanium Pen,Product Design,Design,EUR,16/10/2017,9950,04/09/2017 14:47,140333.52,successful,1464,DE,165845.54,11758.87
36086894,The Atari ST and the Creative People vol. 1,Anthologies,Publishing,EUR,03/07/2016,16000,18/06/2016 14:59,22328,successful,398,DE,24717.16,17712.05
36232010,bike2like - bike sharing rethought (Canceled),Apps,Technology,EUR,11/06/2015,30000,12/05/2015 08:51,331,canceled,13,DE,371.38,33659.83
36301013,"Nello De Reggi. A frame, Your Life.",Fashion,Fashion,EUR,06/12/2016,175000,07/10/2016 22:49,295,failed,9,IT,311.49,184782.38
36780010,Paperblooms - Seed Confetti and Seedbombs in 70+ colors,Product Design,Design,EUR,25/06/2015,15000,26/05/2015 00:30,1156,failed,20,DE,1294.95,16802.96
36916868,When solidarity becomes a crime,Video,Journalism,EUR,25/04/2017,1000,26/03/2017 23:27,1177,successful,26,ES,1286.47,1093
36918091,AirSelfie,Technology,Technology,EUR,24/12/2016,45000,17/11/2016 13:00,574504.1,successful,2762,IT,605582.6,47434.33
37618031,Best of Commodore Amiga Demoscene Music,Chiptune,Music,EUR,23/08/2015,99,24/06/2015 09:03,113,successful,33,DE,127.33,111.55
37857492,Woobii Social Travel,Apps,Technology,EUR,06/10/2017,10000,06/09/2017 16:46,1720,failed,6,IT,2013.6,11707
37904226,Unitact-The first bracelet for deaf people and hearing-loss,Wearables,Technology,EUR,11/06/2016,30000,10/05/2016 07:41,31768,successful,132,FR,35751.83,33762.11
37910130,Wheel by Miniot,Product Design,Design,EUR,17/03/2017,50000,25/02/2017 11:32,424457,successful,762,NL,455738.92,53684.93
38160355,Catakombes dark reign,Tabletop Games,Games,EUR,03/05/2016,3000,24/03/2016 21:01,3034.52,successful,37,FR,3467.55,3428.1
38170375,My Photography Trip Around Europe,Places,Photography,EUR,12/06/2016,1000,19/05/2016 16:30,154,failed,10,DE,173.31,1125.4
38363209,Battery Eaters,Gadgets,Technology,EUR,18/05/2016,25000,18/04/2016 12:06,4660,failed,74,NL,5228.02,28047.34
38395938,NICTONOMICON. Grimorio lovecraftiano / Lovecraftian grimoire,Illustration,Art,EUR,06/01/2017,3500,20/11/2016 09:23,18720,successful,180,ES,19822.53,3706.14
38522956,Rough-and-tumble: a 3D Horde,3D Printing,Technology,EUR,27/11/2016,500,30/10/2016 18:47,1292,successful,29,IT,1374.95,532.1
38671293,FULL CARBONFIBRE KEY ORGANIZER AND KEYCHAIN,Product Design,Design,EUR,06/02/2016,1000,07/01/2016 13:07,7398,successful,202,DE,8341.23,1127.5
38999612,Parkis - bicycle parking solution,Gadgets,Technology,EUR,09/11/2015,50000,25/09/2015 07:13,525,failed,10,BE,565.11,53820.15
39300581,The Perfect Eyewear for Motorcyclists,Product Design,Design,EUR,20/05/2016,65000,20/04/2016 15:09,1589,failed,11,DE,1782.69,72923.09
39360600,Renzi travel journals and maps (English Version),Publishing,Publishing,EUR,10/08/2017,5000,11/07/2017 20:04,166,failed,10,FR,195.3,5882.49
39590517,INTRIPPR - Travel and be in tune with the local culture,Apps,Technology,EUR,24/07/2015,19086,09/06/2015 08:54,2521,failed,21,FR,2757.72,20878.18
39889966,"VOLCANOS and the tradition of ""hand-made""",Pottery,Crafts,EUR,31/07/2016,4700,01/07/2016 18:11,6780,successful,92,DE,7563.76,5243.31
39932955,At Swim: A Book About The Sea,Publishing,Publishing,EUR,02/08/2015,6500,30/06/2015 08:46,8580,successful,151,IE,9387.41,7111.68
40044264,Magun - Ein P&P Rollenspiel,Tabletop Games,Games,EUR,29/09/2016,1800,01/09/2016 19:48,10310,successful,144,DE,11506.95,2008.97
40131909,POLSTRAT - Take Back your democracy,Web,Technology,EUR,20/07/2016,36000,21/06/2016 17:15,4968,failed,146,FR,5471.73,39650.2
40434319,Flowers by A - Handmade Jewelry,Jewelry,Fashion,EUR,31/08/2016,2000,01/08/2016 19:07,2101,successful,18,FR,2351.64,2238.59
41061252,IRON DREAM: SHORT REVOLUTIONARY ACTION FILM,Shorts,Film & Video,EUR,05/09/2015,2500,14/07/2015 14:37,2654,successful,15,FR,2990.52,2817
41221759,THE SCOUT CREDIT CARD MULTITOOL,Product Design,Design,EUR,31/07/2015,40000,01/07/2015 11:25,796,failed,13,FR,872.97,43867.83
41907337,Dodgy Dealers - The Black Market Art Dealing Card Game,Tabletop Games,Games,EUR,17/11/2016,1000,18/10/2016 19:52,7500,successful,230,IE,7971.77,1062.9
42108967,Sankakkei – 3D fractal puzzle based on sacred geometry,Product Design,Design,EUR,18/06/2015,6000,19/04/2015 15:28,6055,successful,112,NL,6841.58,6779.43
42134953,Wolfed (a werewolf card game) (Canceled),Playing Cards,Games,EUR,09/01/2016,12500,10/12/2015 14:42,3359,canceled,85,DE,3666.03,13642.56
42275504,I fidanzati della morte - Engaged to Death,Film & Video,Film & Video,EUR,06/05/2017,20000,07/03/2017 10:14,22959,successful,372,IT,24970.09,21751.9
42552254,Catch Me,Apps,Technology,EUR,14/10/2015,20000,19/09/2015 14:48,226,failed,6,FR,256.74,22720.04
43427179,Lou,Shorts,Film & Video,EUR,08/02/2016,2200,19/01/2016 19:54,2200,successful,63,FR,2480.49,2480.49
43585884,Wolfed  (werewolf card game),Tabletop Games,Games,EUR,20/01/2016,10000,21/12/2015 13:41,47997,successful,1254,DE,51875.19,10808.01
44202278,Blog Book - transform your blog in a pdf printable book,Web,Technology,EUR,16/01/2016,50000,17/11/2015 16:41,64,failed,8,IT,69.17,54040.03
44839935,Milay Chocolate & Calender,Food,Food,EUR,17/12/2017,50000,17/11/2017 17:00,336,canceled,12,DE,398.26,59264.88
45077506,BoxDolls: Indian Mythology,Illustration,Art,EUR,24/10/2017,500,24/09/2017 20:02,606,successful,26,DE,703.26,580.25
45494847,Flamenco Tower build with fiber reinforced ice.,Technology,Technology,EUR,19/10/2017,5000,14/09/2017 17:36,310,failed,14,NL,366.36,5908.98
45750431,SCIFI Miniatures - Alien and Human Complete Armies,Tabletop Games,Games,EUR,13/07/2017,2300,13/06/2017 08:04,285,canceled,19,ES,325.33,2625.45
46338385,Common Loon - A ruler set that holds a world of creativity,Product Design,Design,EUR,30/06/2016,15000,17/05/2016 17:02,30829,successful,744,DE,34328.06,16702.48
